,Country,Year,Medal,Count
909,GBR,1928,Gold,6
910,GBR,1928,Silver,25
911,GBR,1932,Bronze,14
912,GBR,1932,Gold,8
913,GBR,1932,Silver,12
914,GBR,1936,Bronze,8
915,GBR,1936,Gold,12
916,GBR,1936,Silver,16
917,GBR,1948,Bronze,11
918,GBR,1948,Gold,6
919,GBR,1948,Silver,39
920,GBR,1952,Bronze,26
921,GBR,1952,Gold,3
922,GBR,1952,Silver,2
923,GBR,1956,Bronze,22
924,GBR,1956,Gold,8
925,GBR,1956,Silver,15
926,GBR,1960,Bronze,15
927,GBR,1960,Gold,2
928,GBR,1960,Silver,11
929,GBR,1964,Bronze,5
930,GBR,1964,Gold,4
931,GBR,1964,Silver,19
932,GBR,1968,Bronze,5
933,GBR,1968,Gold,8
934,GBR,1968,Silver,5
935,GBR,1972,Bronze,12
936,GBR,1972,Gold,8
937,GBR,1972,Silver,9
938,GBR,1976,Bronze,11
939,GBR,1976,Gold,6
940,GBR,1976,Silver,15
941,GBR,1980,Bronze,22
942,GBR,1980,Gold,5
943,GBR,1980,Silver,18
944,GBR,1984,Bronze,43
945,GBR,1984,Gold,9
946,GBR,1984,Silver,20
947,GBR,1988,Bronze,15
948,GBR,1988,Gold,22
949,GBR,1988,Silver,16
950,GBR,1992,Bronze,39
951,GBR,1992,Gold,8
952,GBR,1992,Silver,3
953,GBR,1996,Bronze,9
954,GBR,1996,Gold,2
955,GBR,1996,Silver,15
956,GBR,2000,Bronze,13
957,GBR,2000,Gold,22
958,GBR,2000,Silver,20
959,GBR,2004,Bronze,15
960,GBR,2004,Gold,17
961,GBR,2004,Silver,25
962,GBR,2008,Bronze,21
963,GBR,2008,Gold,31
964,GBR,2008,Silver,25
965,GBR,2012,Bronze,48
966,GBR,2012,Gold,48
967,GBR,2012,Silver,30
968,GDR,1968,Bronze,19
969,GDR,1968,Gold,13
970,GDR,1968,Silver,19
971,GDR,1972,Bronze,56
972,GDR,1972,Gold,30
973,GDR,1972,Silver,62
974,GDR,1976,Bronze,42
975,GDR,1976,Gold,99
976,GDR,1976,Silver,51
977,GDR,1980,Bronze,61
978,GDR,1980,Gold,112
979,GDR,1980,Silver,87
980,GDR,1988,Bronze,47
981,GDR,1988,Gold,75
982,GDR,1988,Silver,52
983,GEO,1996,Bronze,2
984,GEO,2000,Bronze,6
985,GEO,2004,Gold,2
986,GEO,2004,Silver,2
987,GEO,2008,Bronze,3
988,GEO,2008,Gold,3
989,GEO,2012,Bronze,3
990,GEO,2012,Gold,1
991,GEO,2012,Silver,3
992,GER,1896,Bronze,2
993,GER,1896,Gold,26
994,GER,1896,Silver,5
995,GER,1900,Bronze,10
996,GER,1900,Gold,11
997,GER,1900,Silver,19
998,GER,1904,Bronze,5
999,GER,1904,Gold,4
1000,GER,1904,Silver,4
1001,GER,1908,Bronze,7
1002,GER,1908,Gold,4
1003,GER,1908,Silver,11
1004,GER,1912,Bronze,23
1005,GER,1912,Gold,10
1006,GER,1912,Silver,19
1007,GER,1928,Bronze,39
1008,GER,1928,Gold,20
1009,GER,1928,Silver,13
1010,GER,1932,Bronze,5
1011,GER,1932,Gold,7
1012,GER,1932,Silver,26
1013,GER,1936,Bronze,59
1014,GER,1936,Gold,88
1015,GER,1936,Silver,63
1016,GER,1952,Bronze,26
1017,GER,1952,Silver,14
1018,GER,1992,Bronze,60
1019,GER,1992,Gold,81
1020,GER,1992,Silver,57
1021,GER,1996,Bronze,47
1022,GER,1996,Gold,42
1023,GER,1996,Silver,35
1024,GER,2000,Bronze,65
1025,GER,2000,Gold,31
1026,GER,2000,Silver,23
1027,GER,2004,Bronze,63
1028,GER,2004,Gold,41
1029,GER,2004,Silver,45
1030,GER,2008,Bronze,43
1031,GER,2008,Gold,42
1032,GER,2008,Silver,16
1033,GER,2012,Bronze,21
1034,GER,2012,Gold,45
1035,GER,2012,Silver,28
1036,GHA,1960,Silver,1
1037,GHA,1964,Bronze,1
1038,GHA,1972,Bronze,1
1039,GHA,1992,Bronze,13
1040,GRE,1896,Bronze,22
1041,GRE,1896,Gold,10
1042,GRE,1896,Silver,20
1043,GRE,1904,Bronze,1
1044,GRE,1904,Gold,1
1045,GRE,1908,Silver,3
1046,GRE,1912,Bronze,1
1047,GRE,1912,Gold,1
1048,GRE,1920,Silver,5
1049,GRE,1956,Bronze,1
1050,GRE,1960,Gold,3
1051,GRE,1968,Bronze,1
1052,GRE,1972,Silver,2
1053,GRE,1980,Bronze,4
1054,GRE,1980,Gold,1
1055,GRE,1984,Bronze,1
1056,GRE,1984,Silver,1
1057,GRE,1988,Bronze,1
1058,GRE,1992,Gold,2
1059,GRE,1996,Gold,4
1060,GRE,1996,Silver,4
1061,GRE,2000,Bronze,8
1062,GRE,2000,Gold,4
1063,GRE,2000,Silver,6
1064,GRE,2004,Bronze,5
1065,GRE,2004,Gold,8
1066,GRE,2004,Silver,18
1067,GRE,2008,Bronze,4
1068,GRE,2008,Silver,3
1069,GRE,2012,Bronze,3
1070,GRN,2012,Gold,1
1071,GUA,2012,Silver,1
1072,GUY,1980,Bronze,1
1073,HAI,1924,Bronze,7
1074,HAI,1928,Silver,1
1075,HKG,1996,Gold,1
1076,HKG,2004,Silver,2
1077,HKG,2012,Bronze,1
1078,HUN,1896,Bronze,3
1079,HUN,1896,Gold,2
1080,HUN,1896,Silver,1
1081,HUN,1900,Bronze,2
1082,HUN,1900,Gold,1
1083,HUN,1900,Silver,2
1084,HUN,1904,Bronze,1
1085,HUN,1904,Gold,2
1086,HUN,1904,Silver,1
1087,HUN,1908,Bronze,5
1088,HUN,1908,Gold,6
1089,HUN,1908,Silver,7
1090,HUN,1912,Bronze,3
1091,HUN,1912,Gold,10
1092,HUN,1912,Silver,17
1093,HUN,1924,Bronze,8
1094,HUN,1924,Gold,2
1095,HUN,1924,Silver,10
1096,HUN,1928,Gold,9
1097,HUN,1928,Silver,11
1098,HUN,1932,Bronze,8
1099,HUN,1932,Gold,20
1100,HUN,1932,Silver,4
1101,HUN,1936,Bronze,16
1102,HUN,1936,Gold,25
1103,HUN,1936,Silver,1
1104,HUN,1948,Bronze,21
1105,HUN,1948,Gold,15
1106,HUN,1948,Silver,24
1107,HUN,1952,Bronze,32
1108,HUN,1952,Gold,52
1109,HUN,1952,Silver,17
1110,HUN,1956,Bronze,14
1111,HUN,1956,Gold,30
1112,HUN,1956,Silver,20
1113,HUN,1960,Bronze,36
1114,HUN,1960,Gold,13
1115,HUN,1960,Silver,16
1116,HUN,1964,Bronze,7
1117,HUN,1964,Gold,42
1118,HUN,1964,Silver,7
1119,HUN,1968,Bronze,29
1120,HUN,1968,Gold,32
1121,HUN,1968,Silver,20
1122,HUN,1972,Bronze,25
1123,HUN,1972,Gold,10
1124,HUN,1972,Silver,46
1125,HUN,1976,Bronze,35
1126,HUN,1976,Gold,14
1127,HUN,1976,Silver,6
1128,HUN,1980,Bronze,40
1129,HUN,1980,Gold,8
1130,HUN,1980,Silver,13
1131,HUN,1988,Bronze,15
1132,HUN,1988,Gold,20
1133,HUN,1988,Silver,9
1134,HUN,1992,Bronze,8
1135,HUN,1992,Gold,14
1136,HUN,1992,Silver,23
1137,HUN,1996,Bronze,26
1138,HUN,1996,Gold,8
1139,HUN,1996,Silver,9
1140,HUN,2000,Bronze,4
1141,HUN,2000,Gold,25
1142,HUN,2000,Silver,24
1143,HUN,2004,Bronze,4
1144,HUN,2004,Gold,24
1145,HUN,2004,Silver,12
1146,HUN,2008,Bronze,3
1147,HUN,2008,Gold,16
1148,HUN,2008,Silver,8
1149,HUN,2012,Bronze,6
1150,HUN,2012,Gold,12
1151,HUN,2012,Silver,8
1152,INA,1988,Silver,3
1153,INA,1992,Bronze,1
1154,INA,1992,Gold,2
1155,INA,1992,Silver,3
1156,INA,1996,Bronze,3
1157,INA,1996,Gold,2
1158,INA,1996,Silver,1
1159,INA,2000,Bronze,2
1160,INA,2000,Gold,2
1161,INA,2000,Silver,4
1162,INA,2004,Bronze,3
1163,INA,2004,Gold,1
1164,INA,2004,Silver,1
1165,INA,2008,Bronze,3
1166,INA,2008,Gold,2
1167,INA,2008,Silver,2
1168,INA,2012,Bronze,1
1169,INA,2012,Silver,2
1170,IND,1900,Silver,2
1171,IND,1928,Gold,15
1172,IND,1932,Gold,11
1173,IND,1936,Gold,19
1174,IND,1948,Gold,20
1175,IND,1952,Bronze,1
1176,IND,1952,Gold,14
1177,IND,1956,Gold,17
1178,IND,1960,Silver,13
1179,IND,1964,Gold,15
1180,IND,1968,Bronze,15
1181,IND,1972,Bronze,14
1182,IND,1980,Gold,16
1183,IND,1996,Bronze,1
1184,IND,2000,Bronze,1
1185,IND,2004,Silver,1
1186,IND,2008,Bronze,2
1187,IND,2008,Gold,1
1188,IND,2012,Bronze,4
1189,IND,2012,Silver,2
1190,IOP,1992,Bronze,2
1191,IOP,1992,Silver,1
1192,IRI,1948,Bronze,1
1193,IRI,1952,Bronze,4
1194,IRI,1952,Silver,3
1195,IRI,1956,Bronze,1
1196,IRI,1956,Gold,2
1197,IRI,1956,Silver,2
1198,IRI,1960,Bronze,3
1199,IRI,1960,Silver,1
1200,IRI,1964,Bronze,2
1201,IRI,1968,Bronze,2
1202,IRI,1968,Gold,2
1203,IRI,1968,Silver,1
1204,IRI,1972,Bronze,1
1205,IRI,1972,Silver,2
1206,IRI,1976,Bronze,1
1207,IRI,1976,Silver,1
1208,IRI,1988,Silver,1
1209,IRI,1992,Bronze,2
1210,IRI,1992,Silver,1
1211,IRI,1996,Bronze,1
1212,IRI,1996,Gold,1
1213,IRI,1996,Silver,1
1214,IRI,2000,Bronze,1
1215,IRI,2000,Gold,3
1216,IRI,2004,Bronze,2
1217,IRI,2004,Gold,2
1218,IRI,2004,Silver,2
1219,IRI,2008,Bronze,1
1220,IRI,2008,Gold,1
1221,IRI,2012,Bronze,2
1222,IRI,2012,Gold,5
1223,IRI,2012,Silver,6
1224,IRL,1928,Gold,1
1225,IRL,1932,Gold,2
1226,IRL,1952,Silver,1
1227,IRL,1956,Bronze,3
1228,IRL,1956,Gold,1
1229,IRL,1956,Silver,1
1230,IRL,1964,Bronze,1
1231,IRL,1980,Bronze,1
1232,IRL,1980,Silver,2
1233,IRL,1984,Silver,1
1234,IRL,1992,Gold,1
1235,IRL,1992,Silver,1
1236,IRL,1996,Bronze,1
1237,IRL,1996,Gold,3
1238,IRL,2000,Silver,1
1239,IRL,2008,Bronze,2
1240,IRL,2008,Silver,1
1241,IRL,2012,Bronze,4
1242,IRL,2012,Gold,1
1243,IRL,2012,Silver,1
1244,IRQ,1960,Bronze,1
1245,ISL,1956,Silver,1
1246,ISL,1984,Bronze,1
1247,ISL,2000,Bronze,1
1248,ISL,2008,Silver,14
1249,ISR,1992,Bronze,1
1250,ISR,1992,Silver,1
1251,ISR,1996,Bronze,1
1252,ISR,2000,Bronze,1
1253,ISR,2004,Bronze,1
1254,ISR,2004,Gold,1
1255,ISR,2008,Bronze,1
1256,ISV,1988,Silver,1
1257,ITA,1900,Gold,2
1258,ITA,1900,Silver,2
1259,ITA,1908,Gold,2
1260,ITA,1908,Silver,5
1261,ITA,1912,Bronze,2
1262,ITA,1912,Gold,18
1263,ITA,1912,Silver,1
1264,ITA,1920,Bronze,7
1265,ITA,1920,Gold,68
1266,ITA,1920,Silver,9
1267,ITA,1924,Bronze,21
1268,ITA,1924,Gold,25
1269,ITA,1924,Silver,5
1270,ITA,1928,Bronze,31
1271,ITA,1928,Gold,18
1272,ITA,1928,Silver,21
1273,ITA,1932,Bronze,18
1274,ITA,1932,Gold,21
1275,ITA,1932,Silver,38
1276,ITA,1936,Bronze,5
1277,ITA,1936,Gold,36
1278,ITA,1936,Silver,30
1279,ITA,1948,Bronze,12
1280,ITA,1948,Gold,20
1281,ITA,1948,Silver,31
1282,ITA,1952,Bronze,15
1283,ITA,1952,Gold,17
1284,ITA,1952,Silver,21
1285,ITA,1956,Bronze,10
1286,ITA,1956,Gold,25
1287,ITA,1956,Silver,11
1288,ITA,1960,Bronze,34
1289,ITA,1960,Gold,36
1290,ITA,1960,Silver,18
1291,ITA,1964,Bronze,9
1292,ITA,1964,Gold,13
1293,ITA,1964,Silver,28
1294,ITA,1968,Bronze,19
1295,ITA,1968,Gold,5
1296,ITA,1968,Silver,8
1297,ITA,1972,Bronze,13
1298,ITA,1972,Gold,9
1299,ITA,1972,Silver,3
1300,ITA,1976,Bronze,4
1301,ITA,1976,Gold,2
1302,ITA,1976,Silver,25
1303,ITA,1980,Bronze,8
1304,ITA,1980,Gold,8
1305,ITA,1980,Silver,21
1306,ITA,1984,Bronze,28
1307,ITA,1984,Gold,29
1308,ITA,1984,Silver,6
1309,ITA,1988,Bronze,8
1310,ITA,1988,Gold,11
1311,ITA,1988,Silver,10
1312,ITA,1992,Bronze,14
1313,ITA,1992,Gold,22
1314,ITA,1992,Silver,10
1315,ITA,1996,Bronze,28
1316,ITA,1996,Gold,19
1317,ITA,1996,Silver,24
1318,ITA,2000,Bronze,29
1319,ITA,2000,Gold,22
1320,ITA,2000,Silver,14
1321,ITA,2004,Bronze,39
1322,ITA,2004,Gold,24
1323,ITA,2004,Silver,39
1324,ITA,2008,Bronze,20
1325,ITA,2008,Gold,8
1326,ITA,2008,Silver,14
1327,ITA,2012,Bronze,30
1328,ITA,2012,Gold,16
1329,ITA,2012,Silver,22
1330,JAM,1948,Gold,1
1331,JAM,1948,Silver,2
1332,JAM,1952,Gold,5
1333,JAM,1952,Silver,3
1334,JAM,1968,Silver,1
1335,JAM,1972,Bronze,1
1336,JAM,1976,Gold,1
1337,JAM,1976,Silver,1
1338,JAM,1980,Bronze,3
1339,JAM,1984,Bronze,2
1340,JAM,1984,Silver,4
1341,JAM,1988,Silver,5
1342,JAM,1992,Bronze,1
1343,JAM,1992,Silver,3
1344,JAM,1996,Bronze,12
1345,JAM,1996,Gold,1
1346,JAM,1996,Silver,3
1347,JAM,2000,Bronze,9
1348,JAM,2000,Silver,14
1349,JAM,2004,Bronze,6
1350,JAM,2004,Gold,6
1351,JAM,2004,Silver,1
1352,JAM,2008,Bronze,5
1353,JAM,2008,Gold,9
1354,JAM,2008,Silver,3
1355,JAM,2012,Bronze,8
1356,JAM,2012,Gold,8
1357,JAM,2012,Silver,9
1358,JPN,1920,Silver,3
1359,JPN,1924,Bronze,1
1360,JPN,1928,Bronze,1
1361,JPN,1928,Gold,2
1362,JPN,1928,Silver,5
1363,JPN,1932,Bronze,4
1364,JPN,1932,Gold,10
1365,JPN,1932,Silver,17
1366,JPN,1936,Bronze,8
1367,JPN,1936,Gold,9
1368,JPN,1936,Silver,4
1369,JPN,1952,Bronze,2
1370,JPN,1952,Gold,1
1371,JPN,1952,Silver,9
1372,JPN,1956,Bronze,5
1373,JPN,1956,Gold,4
1374,JPN,1956,Silver,15
1375,JPN,1960,Bronze,10
1376,JPN,1960,Gold,9
1377,JPN,1960,Silver,10
1378,JPN,1964,Bronze,27
1379,JPN,1964,Gold,32
1380,JPN,1964,Silver,5
1381,JPN,1968,Bronze,22
1382,JPN,1968,Gold,16
1383,JPN,1968,Silver,29
1384,JPN,1972,Bronze,8
1385,JPN,1972,Gold,29
1386,JPN,1972,Silver,19
1387,JPN,1976,Bronze,10
1388,JPN,1976,Gold,25
1389,JPN,1976,Silver,6
1390,JPN,1984,Bronze,31
1391,JPN,1984,Gold,10
1392,JPN,1984,Silver,8
1393,JPN,1988,Bronze,13
1394,JPN,1988,Gold,4
1395,JPN,1988,Silver,3
1396,JPN,1992,Bronze,36
1397,JPN,1992,Gold,3
1398,JPN,1992,Silver,8
1399,JPN,1996,Bronze,14
1400,JPN,1996,Gold,3
1401,JPN,1996,Silver,26
1402,JPN,2000,Bronze,8
1403,JPN,2000,Gold,5
1404,JPN,2000,Silver,30
1405,JPN,2004,Bronze,53
1406,JPN,2004,Gold,21
1407,JPN,2004,Silver,20
1408,JPN,2008,Bronze,17
1409,JPN,2008,Gold,23
1410,JPN,2008,Silver,11
1411,JPN,2012,Bronze,33
1412,JPN,2012,Gold,7
1413,JPN,2012,Silver,44
1414,KAZ,1996,Bronze,4
1415,KAZ,1996,Gold,3
1416,KAZ,1996,Silver,4
1417,KAZ,2000,Gold,3
1418,KAZ,2000,Silver,4
1419,KAZ,2004,Bronze,3
1420,KAZ,2004,Gold,1
1421,KAZ,2004,Silver,4
1422,KAZ,2008,Bronze,7
1423,KAZ,2008,Gold,2
1424,KAZ,2008,Silver,4
1425,KAZ,2012,Bronze,6
1426,KAZ,2012,Gold,3
1427,KAZ,2012,Silver,1
1428,KEN,1964,Bronze,1
1429,KEN,1968,Bronze,2
1430,KEN,1968,Gold,3
1431,KEN,1968,Silver,7
1432,KEN,1972,Bronze,4
1433,KEN,1972,Gold,5
1434,KEN,1972,Silver,3
1435,KEN,1984,Bronze,2
1436,KEN,1984,Gold,1
1437,KEN,1988,Bronze,2
1438,KEN,1988,Gold,5
1439,KEN,1988,Silver,2
1440,KEN,1992,Bronze,2
1441,KEN,1992,Gold,2
1442,KEN,1992,Silver,4
1443,KEN,1996,Bronze,3
1444,KEN,1996,Gold,1
1445,KEN,1996,Silver,4
1446,KEN,2000,Bronze,2
1447,KEN,2000,Gold,2
1448,KEN,2000,Silver,3
1449,KEN,2004,Bronze,2
1450,KEN,2004,Gold,1
1451,KEN,2004,Silver,4
1452,KEN,2008,Bronze,4
1453,KEN,2008,Gold,6
1454,KEN,2008,Silver,4
1455,KEN,2012,Bronze,6
1456,KEN,2012,Gold,2
1457,KEN,2012,Silver,4
1458,KGZ,2000,Bronze,1
1459,KGZ,2008,Bronze,1
1460,KGZ,2008,Silver,1
1461,KOR,1948,Bronze,2
1462,KOR,1952,Bronze,2
1463,KOR,1956,Bronze,1
1464,KOR,1956,Silver,1
1465,KOR,1964,Bronze,1
1466,KOR,1964,Silver,2
1467,KOR,1968,Bronze,1
1468,KOR,1968,Silver,1
1469,KOR,1972,Silver,1
1470,KOR,1976,Bronze,15
1471,KOR,1976,Gold,1
1472,KOR,1976,Silver,1
1473,KOR,1984,Bronze,7
1474,KOR,1984,Gold,6
1475,KOR,1984,Silver,29
1476,KOR,1988,Bronze,12
1477,KOR,1988,Gold,28
1478,KOR,1988,Silver,37
1479,KOR,1992,Bronze,16
1480,KOR,1992,Gold,28
1481,KOR,1992,Silver,5
1482,KOR,1996,Bronze,7
1483,KOR,1996,Gold,10
1484,KOR,1996,Silver,49
1485,KOR,2000,Bronze,35
1486,KOR,2000,Gold,12
1487,KOR,2000,Silver,26
1488,KOR,2004,Bronze,10
1489,KOR,2004,Gold,14
1490,KOR,2004,Silver,28
1491,KOR,2008,Bronze,26
1492,KOR,2008,Gold,41
1493,KOR,2008,Silver,11
1494,KOR,2012,Bronze,32
1495,KOR,2012,Gold,18
1496,KOR,2012,Silver,13
1497,KSA,2000,Bronze,1
1498,KSA,2000,Silver,1
1499,KSA,2012,Bronze,4
1500,KUW,2000,Bronze,1
1501,KUW,2012,Bronze,1
1502,LAT,1932,Silver,1
1503,LAT,1936,Bronze,1
1504,LAT,1936,Silver,1
1505,LAT,1992,Bronze,1
1506,LAT,1992,Silver,2
1507,LAT,1996,Silver,1
1508,LAT,2000,Bronze,1
1509,LAT,2000,Gold,1
1510,LAT,2000,Silver,1
1511,LAT,2004,Silver,4
1512,LAT,2008,Bronze,1
1513,LAT,2008,Gold,1
1514,LAT,2008,Silver,1
1515,LAT,2012,Bronze,2
1516,LAT,2012,Gold,1
1517,LIB,1952,Bronze,1
1518,LIB,1952,Silver,1
1519,LIB,1972,Silver,1
1520,LIB,1980,Bronze,1
1521,LTU,1992,Bronze,12
1522,LTU,1992,Gold,1
1523,LTU,1996,Bronze,12
1524,LTU,2000,Bronze,15
1525,LTU,2000,Gold,2
1526,LTU,2004,Gold,1
1527,LTU,2004,Silver,2
1528,LTU,2008,Bronze,3
1529,LTU,2008,Silver,2
1530,LTU,2012,Bronze,2
1531,LTU,2012,Gold,2
1532,LTU,2012,Silver,1
1533,LUX,1920,Silver,1
1534,LUX,1952,Gold,1
1535,MAR,1960,Silver,1
1536,MAR,1984,Gold,2
1537,MAR,1988,Bronze,2
1538,MAR,1988,Gold,1
1539,MAR,1992,Bronze,1
1540,MAR,1992,Gold,1
1541,MAR,1992,Silver,1
1542,MAR,1996,Bronze,2
1543,MAR,2000,Bronze,4
1544,MAR,2000,Silver,1
1545,MAR,2004,Gold,2
1546,MAR,2004,Silver,1
1547,MAR,2008,Bronze,1
1548,MAR,2008,Silver,1
1549,MAR,2012,Bronze,1
1550,MAS,1992,Bronze,2
1551,MAS,1996,Bronze,1
1552,MAS,1996,Silver,2
1553,MAS,2008,Silver,1
1554,MAS,2012,Bronze,1
1555,MAS,2012,Silver,1
1556,MDA,1996,Bronze,1
1557,MDA,1996,Silver,2
1558,MDA,2000,Bronze,1
1559,MDA,2000,Silver,1
1560,MDA,2008,Bronze,1
1561,MEX,1932,Silver,2
1562,MEX,1936,Bronze,16
1563,MEX,1948,Bronze,4
1564,MEX,1948,Gold,4
1565,MEX,1948,Silver,1
1566,MEX,1952,Silver,1
1567,MEX,1956,Bronze,1
1568,MEX,1956,Gold,1
1569,MEX,1960,Bronze,1
1570,MEX,1964,Bronze,1
1571,MEX,1968,Bronze,3
1572,MEX,1968,Gold,3
1573,MEX,1968,Silver,3
1574,MEX,1972,Silver,1
1575,MEX,1976,Bronze,1
1576,MEX,1976,Gold,1
1577,MEX,1980,Bronze,11
1578,MEX,1980,Silver,1
1579,MEX,1984,Bronze,1
1580,MEX,1984,Gold,2
1581,MEX,1984,Silver,3
1582,MEX,1988,Bronze,2
1583,MEX,1992,Silver,1
1584,MEX,1996,Bronze,1
1585,MEX,2000,Bronze,3
1586,MEX,2000,Gold,1
1587,MEX,2000,Silver,2
1588,MEX,2004,Bronze,1
1589,MEX,2004,Silver,3
1590,MEX,2008,Bronze,2
1591,MEX,2008,Gold,2
1592,MEX,2012,Bronze,3
1593,MEX,2012,Gold,18
1594,MEX,2012,Silver,5
1595,MGL,1968,Bronze,3
1596,MGL,1968,Silver,1
1597,MGL,1972,Silver,1
1598,MGL,1976,Silver,1
1599,MGL,1980,Bronze,2
1600,MGL,1980,Silver,2
1601,MGL,1988,Bronze,1
1602,MGL,1992,Bronze,2
1603,MGL,1996,Bronze,1
1604,MGL,2004,Bronze,1
1605,MGL,2008,Gold,2
1606,MGL,2008,Silver,2
1607,MGL,2012,Bronze,3
1608,MGL,2012,Silver,2
1609,MKD,2000,Bronze,1
1610,MNE,2012,Silver,14
1611,MOZ,1996,Bronze,1
1612,MOZ,2000,Gold,1
1613,MRI,2008,Bronze,1
1614,NAM,1992,Silver,2
1615,NAM,1996,Silver,2
1616,NED,1900,Bronze,15
1617,NED,1900,Silver,5
1618,NED,1908,Bronze,11
1619,NED,1912,Bronze,22
1620,NED,1920,Bronze,24
1621,NED,1920,Gold,14
1622,NED,1920,Silver,10
1623,NED,1924,Bronze,17
1624,NED,1924,Gold,8
1625,NED,1924,Silver,1
1626,NED,1928,Bronze,6
1627,NED,1928,Gold,20
1628,NED,1928,Silver,39
1629,NED,1932,Gold,2
1630,NED,1932,Silver,10
1631,NED,1936,Bronze,21
1632,NED,1936,Gold,9
1633,NED,1936,Silver,7
1634,NED,1948,Bronze,32
1635,NED,1948,Gold,8
1636,NED,1948,Silver,2
1637,NED,1952,Silver,18
1638,NED,1960,Bronze,2
1639,NED,1960,Silver,1
1640,NED,1964,Bronze,16
1641,NED,1964,Gold,5
1642,NED,1964,Silver,9
1643,NED,1968,Bronze,1
1644,NED,1968,Gold,6
1645,NED,1968,Silver,7
1646,NED,1972,Bronze,2
1647,NED,1972,Gold,3
1648,NED,1972,Silver,1
1649,NED,1976,Bronze,13
1650,NED,1976,Silver,2
1651,NED,1980,Bronze,5
1652,NED,1980,Silver,1
1653,NED,1984,Bronze,14
1654,NED,1984,Gold,20
1655,NED,1984,Silver,6
1656,NED,1988,Bronze,36
1657,NED,1988,Gold,3
1658,NED,1988,Silver,5
1659,NED,1992,Bronze,8
1660,NED,1992,Gold,5
1661,NED,1992,Silver,20
1662,NED,1996,Bronze,26
1663,NED,1996,Gold,38
1664,NED,1996,Silver,9
1665,NED,2000,Bronze,23
1666,NED,2000,Gold,27
1667,NED,2000,Silver,29
1668,NED,2004,Bronze,22
1669,NED,2004,Gold,4
1670,NED,2004,Silver,50
1671,NED,2008,Bronze,4
1672,NED,2008,Gold,40
1673,NED,2008,Silver,18
1674,NED,2012,Bronze,19
1675,NED,2012,Gold,21
1676,NED,2012,Silver,29
1677,NGR,1964,Bronze,1
1678,NGR,1972,Bronze,1
1679,NGR,1984,Bronze,4
1680,NGR,1984,Silver,1
1681,NGR,1992,Bronze,4
1682,NGR,1992,Silver,7
1683,NGR,1996,Bronze,3
1684,NGR,1996,Gold,19
1685,NGR,1996,Silver,4
1686,NGR,2000,Silver,8
1687,NGR,2004,Bronze,8
1688,NGR,2008,Bronze,6
1689,NGR,2008,Silver,18
1690,NIG,1972,Bronze,1
1691,NOR,1900,Bronze,3
1692,NOR,1900,Silver,6
1693,NOR,1908,Bronze,3
1694,NOR,1908,Gold,7
1695,NOR,1908,Silver,34
1696,NOR,1912,Bronze,29
1697,NOR,1912,Gold,41
1698,NOR,1912,Silver,6
1699,NOR,1920,Bronze,27
1700,NOR,1920,Gold,58
1701,NOR,1920,Silver,56
1702,NOR,1924,Bronze,3
1703,NOR,1924,Gold,16
1704,NOR,1924,Silver,7
1705,NOR,1928,Bronze,1
1706,NOR,1928,Gold,4
1707,NOR,1928,Silver,4
1708,NOR,1936,Bronze,15
1709,NOR,1936,Gold,1
1710,NOR,1936,Silver,12
1711,NOR,1948,Bronze,11
1712,NOR,1948,Gold,3
1713,NOR,1948,Silver,4
1714,NOR,1952,Gold,5
1715,NOR,1952,Silver,8
1716,NOR,1956,Bronze,2
1717,NOR,1956,Gold,1
1718,NOR,1960,Gold,2
1719,NOR,1968,Gold,4
1720,NOR,1968,Silver,2
1721,NOR,1972,Bronze,4
1722,NOR,1972,Gold,2
1723,NOR,1972,Silver,2
1724,NOR,1976,Gold,2
1725,NOR,1976,Silver,4
1726,NOR,1984,Bronze,3
1727,NOR,1984,Silver,1
1728,NOR,1988,Gold,2
1729,NOR,1988,Silver,21
1730,NOR,1992,Bronze,1
1731,NOR,1992,Gold,2
1732,NOR,1992,Silver,20
1733,NOR,1996,Bronze,20
1734,NOR,1996,Gold,2
1735,NOR,1996,Silver,3
1736,NOR,2000,Bronze,19
1737,NOR,2000,Gold,21
1738,NOR,2000,Silver,4
1739,NOR,2004,Bronze,2
1740,NOR,2004,Gold,5
1741,NOR,2008,Bronze,1
1742,NOR,2008,Gold,16
1743,NOR,2008,Silver,5
1744,NOR,2012,Bronze,1
1745,NOR,2012,Gold,15
1746,NOR,2012,Silver,1
1747,NZL,1920,Bronze,1
1748,NZL,1924,Bronze,1
1749,NZL,1928,Gold,1
1750,NZL,1932,Silver,2
1751,NZL,1936,Gold,1
1752,NZL,1952,Bronze,2
1753,NZL,1952,Gold,1
1754,NZL,1956,Gold,3
1755,NZL,1960,Bronze,1
1756,NZL,1960,Gold,2
1757,NZL,1964,Bronze,2
1758,NZL,1964,Gold,4
1759,NZL,1968,Bronze,2
1760,NZL,1968,Gold,5
1761,NZL,1972,Bronze,1
1762,NZL,1972,Gold,9
1763,NZL,1972,Silver,4
1764,NZL,1976,Bronze,9
1765,NZL,1976,Gold,17
1766,NZL,1976,Silver,1
1767,NZL,1984,Bronze,6
1768,NZL,1984,Gold,16
1769,NZL,1984,Silver,1
1770,NZL,1988,Bronze,16
1771,NZL,1988,Gold,4
1772,NZL,1988,Silver,4
1773,NZL,1992,Bronze,5
1774,NZL,1992,Gold,1
1775,NZL,1992,Silver,9
